application,variant,datasets,coverage,timeliness,speedup_over_nopf
database_gb_m,no_loop,1,0.475365677,0.784839981,1.390501429
database_gb_m,full,1,0.544938828,0.909157911,1.646211616
database_hj_m,no_loop,1,0.537479460,0.700836956,1.342503975
database_hj_m,full,1,0.788316260,0.834693510,2.368694087
graph_bfs_queue,no_loop,2,0.184668639,0.361889808,1.053738773
graph_bfs_queue,full,2,0.499329078,0.572894591,3.121555893
graph_mst_queue,no_loop,2,0.294749412,0.341437389,1.094614225
graph_mst_queue,full,2,0.461793756,0.657736527,2.005997697
graph_sssp_queue,no_loop,2,0.287636242,0.409796265,1.105936367
graph_sssp_queue,full,2,0.485839471,0.681279900,1.899113865
network_ipv4_m,no_loop,1,0.004748486,1.000000000,1.007664170
network_ipv4_m,full,1,0.864869781,0.996367321,2.358336731
overall,no_loop,9,0.283522468,0.523547096,1.132357257
overall,full,9,0.565783276,0.729337864,2.218256323
