application,variant,datasets,coverage,timeliness,speedup_over_nopf
database_gb_m,no_loop,1,0.491603665,0.644592100,1.351960916
database_gb_m,full,1,0.710593826,0.902718643,2.303566677
database_hj_m,no_loop,1,0.592650638,0.658602650,1.461636902
database_hj_m,full,1,0.824522103,0.863011136,2.657143398
graph_bfs_queue,no_loop,2,0.241222048,0.440416192,1.071309296
graph_bfs_queue,full,2,0.528373653,0.721664781,3.914020343
graph_mst_queue,no_loop,2,0.259721956,0.405336556,1.104243748
graph_mst_queue,full,2,0.550806913,0.742976682,2.214088831
graph_sssp_queue,no_loop,2,0.273322491,0.438530467,1.108504541
graph_sssp_queue,full,2,0.525736567,0.791380642,2.460047946
network_ipv4_m,no_loop,1,0.004562259,1.000000000,1.007451102
network_ipv4_m,full,1,0.862333675,0.996816833,2.167668671
overall,no_loop,9,0.293038839,0.541306798,1.146528065
overall,full,9,0.623031541,0.808287869,2.630491458
