application,variant,datasets,coverage,timeliness,speedup_over_nopf
database_gb_m,no_loop,1,0.491603665,0.644592100,1.351960916
database_gb_m,full,1,0.710593826,0.902718643,2.303566677
database_hj_m,no_loop,1,0.537479460,0.700836956,1.342503975
database_hj_m,full,1,0.788316260,0.834693510,2.368694087
graph_bfs_queue,no_loop,2,0.184668639,0.361889808,1.053738773
graph_bfs_queue,full,2,0.549206179,0.607036852,3.323570728
graph_mst_queue,no_loop,2,0.294749412,0.341437389,1.094614225
graph_mst_queue,full,2,0.470864297,0.658590364,2.043227317
graph_sssp_queue,no_loop,2,0.287636242,0.409796265,1.105936367
graph_sssp_queue,full,2,0.631195772,0.715999811,2.130526915
overall,no_loop,8,0.320398964,0.446459497,1.144961837
overall,full,8,0.600180323,0.712583276,2.411103645
